Euler_Number,CoverageScaleScore,sld_rank,candidate_contour_count,candidate_edge_density,template_alignment_quality,template_component_count,template_edge_density,hole_count_difference,coverage_r0,normalized_score_c,aspect_ratio_difference,sld_name,template_total_contour_perimeter,Stroke_Count,shape_similarity,Vertical_Stroke_Ratio,x,CombinedScore,density_difference,Graph_Density_Difference,Contour_Hierarchy_Depth,Connected_Component_Count,rotation,candidate_aspect_ratio,Component_Area_Variance,candidate_euler,candidate_id,template_contour_count,template_area,localized_chamfer_residual,Average_Branch_Length,template_id,component_difference,Degree_Distribution_Difference,coverage_r2,Endpoint_Matching_Ratio,scale,candidate_total_contour_area,topology_difference,template_bbox_area,Junction_Similarity,edge_count,Branch_Point_Count,euler_difference,fp_class,candidate_component_count,Horizontal_Stroke_Ratio,Endpoint_Count,Largest_Component_Ratio,Hole_Count,Graph_Edit_Distance_Approx,contour_difference,Maximum_Branch_Length,bbox_area_ratio,contour_area_ratio,y,template_width,group,Node_Count_Difference,normalized_score_a,coverage_r1,template_euler,candidate_foreground_ratio,VerificationScore,coverage_r3,candidate_bbox_area,template_foreground_ratio,template_aspect_ratio,normalized_score_b,CoverageAreaScore,chamfer_score,candidate_total_contour_perimeter,occupancy_difference,template_height,largest_component_ratio,Endpoint_Similarity,Branch_Length_Variance,Stroke_Density,template_total_contour_area,Edge_Count_Difference,edge_overlap_ratio,contour_perimeter_ratio,Loop_Count,Junction_Matching_Ratio,Stroke_Similarity
6.0,0.19354838709677422,9,8,0.0861280487804878,0.3387096774193548,7,0.11814024390243902,1,0.3387096774193548,0.023228803716608595,0.024390243902439046,SLD12,521.5218585729599,5.0,0.0382396475393858,0.4,166,508.31110069873745,0.03201219512195122,0.21626373626373624,1.0,7.0,180,1.5609756097560976,1015.9183673469387,6,,7,2624,5.1166544,22.0,T_0.400_180,0,0.2637362637362637,0.5258064516129032,0.5384615384615384,0.4,196.0,2,2583,0.03225806451612903,310,8.0,1,,7,0.4,6.0,0.4026548672566372,1.0,42.0,1,44.0,1.0158730158730158,3.186991869918699,53,64,E_PromotedNoise,12.0,0.19354838709677422,0.4838709677419355,7,0.0861280487804878,0.733554928003197,0.5612903225806452,2624,0.1200154858691444,1.5365853658536586,1269.6774193548388,1269.6774193548388,5.116654396057129,425.96550965309143,0.0338874370886566,41,1.0,0.07692307692307693,0.0,0.7142857142857143,61.5,30.0,0.3387096774193548,0.8167740290285449,7.0,0.5652173913043478,0.25
4.0,0.1806451612903226,171,6,0.07926829268292683,0.4032258064516129,7,0.11814024390243902,1,0.4032258064516129,0.02168021680216802,0.6703111858704793,SLD1,521.5218585729599,4.0,0.04058826734060683,0.0,50,474.3534283120747,0.03887195121951219,0.7876923076923077,1.0,5.0,180,2.206896551724138,498.24000000000007,4,,7,2624,5.667742,23.875,T_0.400_180,2,2.6923076923076925,0.47419354838709676,0.34615384615384615,0.4,27.5,4,2583,0.029411764705882353,310,7.0,3,,5,1.0,2.0,0.3076923076923077,1.0,50.0,1,47.75,0.7185443283004259,0.44715447154471544,102,64,E_PromotedNoise,17.0,0.1806451612903226,0.45161290322580644,7,0.11206896551724138,0.567541810447105,0.5,1856,0.1200154858691444,1.5365853658536586,1185.032258064516,1185.032258064516,5.667741775512695,407.09545254707336,0.00794652035190302,41,1.0,0.05555555555555555,0.0,0.8,61.5,33.0,0.4032258064516129,0.7805913517431629,5.0,0.5217391304347826,0.3333333333333333
2.0,0.15249266862170088,372,2,0.04878048780487805,0.35777126099706746,6,0.12995426829268292,2,0.35777126099706746,0.019817073170731708,19.772357723577233,SLD1,575.6223644018173,2.0,0.09272247911539938,0.0,23,400.3274204366641,0.08117378048780487,0.2830687830687831,0.0,2.0,0,21.333333333333332,0.0,2,,8,2624,7.170088,128.0,T_0.400_000,4,7.642857142857143,0.39882697947214074,0.0,0.4,0.0,4,2624,0.009259259259259259,341,0.0,2,,2,1.0,0.0,0.5,0.0,135.0,6,256.0,0.07317073170731707,0.0,88,64,E_PromotedNoise,28.0,0.15249266862170088,0.3812316715542522,4,0.6666666666666666,0.31109662220155926,0.4252199413489736,192,0.12995426829268292,1.5609756097560976,1000.3519061583578,1000.3519061583578,7.170087814331055,252.0,0.5367123983739837,41,1.0,0.034482758620689655,0.0,1.0,555.0,107.0,0.35777126099706746,0.4377870207699046,2.0,0.0,1.0
4.0,0.13372434017595308,554,4,0.06974085365853659,0.17595307917888564,6,0.12995426829268292,2,0.17595307917888564,0.017378048780487803,0.08005003126954335,SLD1,575.6223644018173,4.0,0.05761861936768209,0.0,309,351.26071212717255,0.060213414634146326,0.716931216931217,0.0,4.0,0,1.641025641025641,1040.1875,4,,8,2624,5.526714,52.333333333333336,T_0.400_000,2,4.642857142857143,0.40762463343108507,0.14285714285714285,0.4,21.0,2,2624,0.00980392156862745,341,2.0,0,,4,1.0,2.0,0.4262295081967213,0.0,125.0,4,104.66666666666667,0.9512195121951219,0.03783783783783784,88,64,E_PromotedNoise,24.0,0.13372434017595308,0.3343108504398827,4,0.0733173076923077,0.6134058424528528,0.46920821114369504,2496,0.12995426829268292,1.5609756097560976,877.2316715542521,877.2316715542521,5.526713848114014,341.6812392473221,0.05663696060037522,41,1.0,0.04,0.0,1.0,555.0,101.0,0.17595307917888564,0.5935857610438656,4.0,0.056074766355140186,0.3333333333333333
2.0,0.14114469453376205,583,2,0.05263157894736842,0.36012861736334406,7,0.13640350877192983,0,0.36012861736334406,0.01957894736842105,18.44736842105263,SLD1,474.7523069381714,2.0,0.0874343757392384,0.0,9,346.20692486038246,0.08377192982456141,0.2678062678062678,0.0,2.0,0,20.0,0.0,2,,7,2280,6.6109324,120.0,T_0.372_000,5,6.962962962962963,0.3987138263665595,0.0,0.372,0.0,5,2242,0.010526315789473684,311,0.0,5,,2,1.0,0.0,0.5,0.0,121.0,5,240.0,0.08028545941123996,0.0,90,60,E_PromotedNoise,27.0,0.14114469453376205,0.37942122186495175,7,0.6666666666666666,0.29128419924409094,0.43086816720257237,180,0.13871543264942016,1.5526315789473684,865.08038585209,865.08038585209,6.610932350158691,236.0,0.5279512340172465,38,1.0,0.03571428571428571,0.0,1.0,80.5,94.0,0.36012861736334406,0.4971013232606263,2.0,0.0,1.0
2.0,0.14498084291187738,757,2,0.05714285714285714,0.3946360153256705,7,0.13558441558441559,0,0.3946360153256705,0.02002116402116402,16.790476190476188,SLD1,430.50966584682465,2.0,0.08248900629120917,0.0,6,324.7026942926805,0.07844155844155845,0.27076923076923076,0.0,2.0,180,18.333333333333332,0.0,2,,7,1925,5.5057473,110.0,T_0.344_180,5,6.769230769230769,0.4521072796934866,0.0,0.344,0.0,5,1890,0.011235955056179775,261,0.0,5,,2,1.0,0.0,0.5,0.0,114.0,5,220.0,0.0873015873015873,0.0,104,55,E_PromotedNoise,26.0,0.14498084291187738,0.421455938697318,7,0.6666666666666666,0.30270249290938944,0.4789272030651341,165,0.1380952380952381,1.542857142857143,811.3026819923372,811.3026819923372,5.505747318267822,216.0,0.5285714285714285,35,1.0,0.037037037037037035,0.0,1.0,52.0,88.0,0.3946360153256705,0.5017308951127076,2.0,0.0,1.0
2.0,0.13312328767123285,929,2,0.05714285714285714,0.3527397260273973,4,0.15168831168831168,1,0.3527397260273973,0.020193246753246748,16.76190476190476,SLD1,447.9238796234131,2.0,0.08634419248321423,0.0,9,298.217599750934,0.09454545454545454,0.2962962962962963,0.0,2.0,0,18.333333333333332,0.0,2,,5,1925,6.0136986,110.0,T_0.344_000,2,7.703703703703703,0.4143835616438356,0.0,0.344,0.0,2,1925,0.009523809523809525,292,0.0,1,,2,1.0,0.0,0.5,0.0,131.0,3,220.0,0.08571428571428572,0.0,92,55,E_PromotedNoise,27.0,0.13312328767123285,0.386986301369863,3,0.6666666666666666,0.3969128268991283,0.4417808219178082,165,0.15168831168831168,1.5714285714285714,744.9486301369863,744.9486301369863,6.013698577880859,216.0,0.514978354978355,35,1.0,0.03571428571428571,0.0,1.0,82.5,104.0,0.3527397260273973,0.48222479270718843,2.0,0.0,1.0
2.0,0.13312328767123285,940,2,0.05714285714285714,0.3527397260273973,4,0.15168831168831168,1,0.3527397260273973,0.020193246753246748,16.76190476190476,SLD1,447.9238796234131,2.0,0.08634419248321423,0.0,20,298.217599750934,0.09454545454545454,0.2962962962962963,0.0,2.0,0,18.333333333333332,0.0,2,,5,1925,6.0136986,110.0,T_0.344_000,2,7.703703703703703,0.4143835616438356,0.0,0.344,0.0,2,1925,0.009523809523809525,292,0.0,1,,2,1.0,0.0,0.5,0.0,131.0,3,220.0,0.08571428571428572,0.0,92,55,E_PromotedNoise,27.0,0.13312328767123285,0.386986301369863,3,0.6666666666666666,0.3969128268991283,0.4417808219178082,165,0.15168831168831168,1.5714285714285714,744.9486301369863,744.9486301369863,6.013698577880859,216.0,0.514978354978355,35,1.0,0.03571428571428571,0.0,1.0,82.5,104.0,0.3527397260273973,0.48222479270718843,2.0,0.0,1.0
4.0,0.2148,175,4,0.08070175438596491,0.432258064516129,3,0.13596491228070176,0,0.432258064516129,0.029700267618198037,0.010734463276836137,SLD3,492.45079135894775,6.0,0.02978676588096374,0.3333333333333333,1744,527.0654302322235,0.05526315789473685,0.2438423645320197,0.0,4.0,270,0.6333333333333333,477.0,4,,3,2280,3.843226,180.0,T_0.372_270,1,6.827586206896552,0.6096774193548387,0.0,0.372,2.0,1,2242,0.01,310,0.0,1,,4,0.6666666666666666,0.0,0.3967391304347826,0.0,128.0,1,360.0,1.0169491525423728,0.02531645569620253,297,38,E_PromotedNoise,29.0,0.2148,0.5774193548387097,3,0.08070175438596491,0.7649643655338456,0.6483870967741936,2280,0.13826940231935772,0.6440677966101694,1316.516129032258,1316.516129032258,3.8432259559631348,360.97056233882904,0.05756764793339281,60,1.0,0.03333333333333333,0.0,1.5,79.0,99.0,0.432258064516129,0.7330083912398819,4.0,0.0,0.2
2.0,0.15625,675,2,0.04878048780487805,0.371875,5,0.12195121951219512,2,0.371875,0.01935733643050716,0.6039186507936508,SLD3,533.7228692770004,2.0,0.09863098328382744,1.0,1729,410.26168677409987,0.07317073170731707,0.28205128205128205,0.0,2.0,90,0.046875,0.0,2,,7,2624,6.846875,128.0,T_0.400_090,3,7.333333333333333,0.409375,0.0,0.4,0.0,3,2583,0.01,320,0.0,1,,2,0.0,0.0,0.5,0.0,126.0,5,256.0,0.0743321718931475,0.0,4,41,E_PromotedNoise,27.0,0.15625,0.390625,3,0.6666666666666666,0.4361446234998064,0.43125,192,0.12388695315524584,0.6507936507936508,1025.0,1025.0,6.846875190734863,252.0,0.5427797135114207,64,1.0,0.03571428571428571,0.0,1.0,535.5,99.0,0.371875,0.4721551473733325,2.0,0.0,1.0
