key,group,candidate_stroke_count,template_stroke_count,Stroke_Difference,Normalized_Stroke_Difference,Stroke_Ratio,Stroke_Similarity
SLD1_576_102,A_TrueMR,8.0,2.0,6.0,3.0,4.0,0.14285714285714285
SLD1_878_119,A_TrueMR,10.0,2.0,8.0,4.0,5.0,0.1111111111111111
SLD1_753_202,B_DominantFP,9.0,2.0,7.0,3.5,4.5,0.125
SLD1_459_102,B_DominantFP,10.0,2.0,8.0,4.0,5.0,0.1111111111111111
SLD1_580_103,B_DominantFP,8.0,2.0,6.0,3.0,4.0,0.14285714285714285
SLD1_1172_177,B_DominantFP,39.0,2.0,37.0,18.5,19.5,0.02631578947368421
SLD1_672_202,B_DominantFP,33.0,2.0,31.0,15.5,16.5,0.03125
SLD1_93_159,B_DominantFP,34.0,2.0,32.0,16.0,17.0,0.030303030303030304
SLD1_754_202,A_TrueMR,7.0,2.0,5.0,2.5,3.5,0.16666666666666666
SLD3_1384_185,B_DominantFP,20.0,2.0,18.0,9.0,10.0,0.05263157894736842
SLD3_1252_185,B_DominantFP,23.0,2.0,21.0,10.5,11.5,0.045454545454545456
SLD3_1460_185,B_DominantFP,22.0,2.0,20.0,10.0,11.0,0.047619047619047616
SLD4_299_146,B_DominantFP,22.0,2.0,20.0,10.0,11.0,0.047619047619047616
SLD7_1434_501,B_DominantFP,24.0,2.0,22.0,11.0,12.0,0.043478260869565216
SLD3_158_127,B_DominantFP,26.0,2.0,24.0,12.0,13.0,0.04
SLD10_972_645,B_DominantFP,27.0,2.0,25.0,12.5,13.5,0.038461538461538464
SLD4_226_146,B_DominantFP,20.0,2.0,18.0,9.0,10.0,0.05263157894736842
SLD7_1229_744,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD7_1284_84,B_DominantFP,18.0,2.0,16.0,8.0,9.0,0.058823529411764705
SLD3_1540_185,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD3_1094_184,B_DominantFP,23.0,2.0,21.0,10.5,11.5,0.045454545454545456
SLD4_508_148,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD1_1178_177,B_DominantFP,32.0,2.0,30.0,15.0,16.0,0.03225806451612903
SLD7_1288_456,B_DominantFP,25.0,2.0,23.0,11.5,12.5,0.041666666666666664
SLD4_103_93,B_DominantFP,18.0,2.0,16.0,8.0,9.0,0.058823529411764705
SLD3_1167_184,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD7_278_501,B_DominantFP,22.0,2.0,20.0,10.0,11.0,0.047619047619047616
SLD1_87_158,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_967_116,B_DominantFP,28.0,2.0,26.0,13.0,14.0,0.037037037037037035
SLD4_578_148,B_DominantFP,25.0,2.0,23.0,11.5,12.5,0.041666666666666664
SLD1_1184_130,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_723_283,B_DominantFP,20.0,2.0,18.0,9.0,10.0,0.05263157894736842
SLD7_1429_487,B_DominantFP,27.0,2.0,25.0,12.5,13.5,0.038461538461538464
SLD10_1341_302,B_DominantFP,21.0,2.0,19.0,9.5,10.5,0.05
SLD8_717_326,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD4_153_148,B_DominantFP,24.0,2.0,22.0,11.0,12.0,0.043478260869565216
SLD1_1006_88,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_982_631,B_DominantFP,22.0,2.0,20.0,10.0,11.0,0.047619047619047616
SLD3_342_188,B_DominantFP,21.0,2.0,19.0,9.5,10.5,0.05
SLD4_440_149,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD1_886_45,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_444_356,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD7_517_213,B_DominantFP,18.0,2.0,16.0,8.0,9.0,0.058823529411764705
SLD3_276_188,B_DominantFP,21.0,2.0,19.0,9.5,10.5,0.05
SLD10_288_645,B_DominantFP,21.0,2.0,19.0,9.5,10.5,0.05
SLD7_899_501,B_DominantFP,23.0,2.0,21.0,10.5,11.5,0.045454545454545456
SLD1_880_120,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1282_34,B_DominantFP,19.0,2.0,17.0,8.5,9.5,0.05555555555555555
SLD3_155_132,B_DominantFP,23.0,2.0,21.0,10.5,11.5,0.045454545454545456
SLD2_647_410,B_DominantFP,22.0,2.0,20.0,10.0,11.0,0.047619047619047616
SLD1_98_113,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1340_322,B_DominantFP,22.0,2.0,20.0,10.0,11.0,0.047619047619047616
SLD3_1148_177,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD1_994_117,A_TrueMR,14.0,2.0,12.0,6.0,7.0,0.07692307692307693
SLD2_67_424,B_DominantFP,18.0,2.0,16.0,8.0,9.0,0.058823529411764705
SLD2_898_162,A_TrueMR,13.0,2.0,11.0,5.5,6.5,0.08333333333333333
SLD3_631_188,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1609_84,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1284_501,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_274_86,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_465_381,B_DominantFP,23.0,2.0,21.0,10.5,11.5,0.045454545454545456
SLD8_22_309,B_DominantFP,29.0,2.0,27.0,13.5,14.5,0.03571428571428571
