Euler_Number,CoverageScaleScore,sld_rank,candidate_contour_count,candidate_edge_density,template_alignment_quality,template_component_count,template_edge_density,hole_count_difference,coverage_r0,normalized_score_c,aspect_ratio_difference,sld_name,template_total_contour_perimeter,Stroke_Count,shape_similarity,Vertical_Stroke_Ratio,x,CombinedScore,density_difference,Graph_Density_Difference,Contour_Hierarchy_Depth,Connected_Component_Count,rotation,candidate_aspect_ratio,Component_Area_Variance,candidate_euler,candidate_id,template_contour_count,template_area,localized_chamfer_residual,Average_Branch_Length,template_id,component_difference,Degree_Distribution_Difference,coverage_r2,Endpoint_Matching_Ratio,scale,candidate_total_contour_area,topology_difference,template_bbox_area,Junction_Similarity,edge_count,Branch_Point_Count,euler_difference,fp_class,candidate_component_count,Horizontal_Stroke_Ratio,Endpoint_Count,Largest_Component_Ratio,Hole_Count,Graph_Edit_Distance_Approx,contour_difference,Maximum_Branch_Length,bbox_area_ratio,contour_area_ratio,y,template_width,group,Node_Count_Difference,normalized_score_a,coverage_r1,template_euler,candidate_foreground_ratio,VerificationScore,coverage_r3,candidate_bbox_area,template_foreground_ratio,template_aspect_ratio,normalized_score_b,CoverageAreaScore,chamfer_score,candidate_total_contour_perimeter,occupancy_difference,template_height,largest_component_ratio,Endpoint_Similarity,Branch_Length_Variance,Stroke_Density,template_total_contour_area,Edge_Count_Difference,edge_overlap_ratio,contour_perimeter_ratio,Loop_Count,Junction_Matching_Ratio
2.0,0.13783561643835615,843,2,0.05714285714285714,0.2089041095890411,4,0.15168831168831168,1,0.2089041095890411,0.020908051948051943,12.178571428571429,SLD1,447.9238796234131,2.0,0.0865985081182388,0.0,228,308.7578571428572,0.09454545454545454,0.2962962962962963,0.0,2.0,0,13.75,0.0,2,,5,1925,5.859589,110.0,T_0.344_000,2,7.703703703703703,0.4280821917808219,0.0,0.344,0.0,2,1925,0.009523809523809525,292,0.0,1,,2,1.0,0.0,0.5,0.0,131.0,3,220.0,0.11428571428571428,0.0,91,55,A_TrueMR,27.0,0.13783561643835615,0.4006849315068493,3,0.5,0.3840998043052838,0.4691780821917808,220,0.15168831168831168,1.5714285714285714,771.318493150685,771.318493150685,5.859589099884033,216.0,0.34831168831168835,35,1.0,0.03571428571428571,0.0,1.0,82.5,104.0,0.2089041095890411,0.48222479270718843,2.0,0.0
2.0,0.16516129032258065,257,2,0.053734756097560975,0.19032258064516128,7,0.11814024390243902,0,0.19032258064516128,0.019821912504839334,1.6634146341463416,SLD1,521.5218585729599,2.0,0.09498044383392878,0.0,250,433.5885721041269,0.06440548780487804,0.2123076923076923,0.0,2.0,180,3.2,0.25,2,,7,2624,5.7561836,131.0,T_0.400_180,5,5.3076923076923075,0.45161290322580644,0.038461538461538464,0.4,7.5,5,2583,0.014285714285714285,310,0.0,5,,2,1.0,1.0,0.5035460992907801,0.0,94.0,5,262.0,0.49554781262098335,0.12195121951219512,102,64,A_TrueMR,25.0,0.16516129032258065,0.4129032258064516,7,0.11015625,0.3422438294587439,0.5064516129032258,1280,0.1200154858691444,1.5365853658536586,1083.458064516129,1083.458064516129,5.756184101104736,271.6984840631485,0.009859235869144403,41,1.0,0.038461538461538464,0.0,1.0,61.5,69.0,0.19032258064516128,0.5209723803458536,2.0,0.0
2.0,0.19870967741935486,113,2,0.057164634146341466,0.31290322580645163,7,0.11814024390243902,0,0.31290322580645163,0.023848238482384824,0.8337850045167117,SLD1,521.5218585729599,4.0,0.10204179499233162,0.25,825,521.6591596636819,0.06097560975609755,0.2123076923076923,0.0,2.0,180,2.3703703703703702,121.0,2,,7,2624,5.318995,148.0,T_0.400_180,5,5.3076923076923075,0.5161290322580645,0.0,0.4,1.0,5,2583,0.014285714285714285,310,0.0,5,,2,0.75,0.0,0.5733333333333334,0.0,95.0,5,296.0,0.6689895470383276,0.016260162601626018,119,64,A_TrueMR,26.0,0.19870967741935486,0.4967741935483871,7,0.08680555555555555,0.40827685882465586,0.5516129032258065,1728,0.1200154858691444,1.5365853658536586,1303.5354838709677,1303.5354838709677,5.318994998931885,298.1421353816986,0.03320993031358885,41,1.0,0.037037037037037035,0.0,2.0,61.5,69.0,0.31290322580645163,0.5716771607569908,2.0,0.0
4.0,0.16638977635782748,317,4,0.06184210526315789,0.3738019169329074,2,0.13728070175438598,0,0.3738019169329074,0.023229259589652097,0.669590643274854,SLD1,492.45079159736633,2.0,0.10202341673259521,0.0,37,408.2668950652294,0.07543859649122808,0.2765151515151515,0.0,4.0,180,2.2222222222222223,622.6875,4,,2,2280,5.0287538,69.0,T_0.372_180,2,8.848484848484848,0.476038338658147,0.030303030303030304,0.372,3.0,2,2242,0.006802721088435374,313,1.0,2,,4,1.0,0.0,0.425531914893617,0.0,178.0,2,138.0,0.7225691347011597,0.03614457831325301,103,60,A_TrueMR,32.0,0.16638977635782748,0.4472843450479233,2,0.08703703703703704,0.5726206358721542,0.5207667731629393,1620,0.13960749330954506,1.5526315789473684,1019.8083067092651,1019.8083067092651,5.028753757476807,273.79898941516876,0.05257045627250802,38,1.0,0.030303030303030304,0.0,0.5,83.0,146.0,0.3738019169329074,0.5559925866441293,4.0,0.0
3.0,0.1392313725490196,969,3,0.06357694592988711,0.39215686274509803,5,0.15151515151515152,0,0.39215686274509803,0.022189999999999998,0.5625,SLD1,393.0954530239105,2.0,0.08751540914383282,0.0,132,296.0359008467023,0.08793820558526441,0.3386243386243386,0.0,3.0,180,2.125,470.22222222222223,3,,5,1683,4.415686,106.0,T_0.317_180,2,9.142857142857142,0.47843137254901963,0.0,0.317,0.5,2,1600,0.007751937984496124,255,0.0,2,,3,1.0,0.0,0.4766355140186916,0.0,156.0,2,212.0,0.765,0.007518796992481203,105,51,A_TrueMR,28.0,0.1392313725490196,0.4392156862745098,5,0.08741830065359477,0.5931680778371955,0.5254901960784314,1224,0.159375,1.5625,739.2,739.2,4.415686130523682,207.41421353816986,0.07195669934640522,33,1.0,0.034482758620689655,0.0,0.6666666666666666,66.5,128.0,0.39215686274509803,0.5276433801068506,3.0,0.0
2.0,0.15483870967741936,324,2,0.04878048780487805,0.3519061583577713,6,0.12995426829268292,2,0.3519061583577713,0.020121951219512196,14.439024390243903,SLD1,575.6223644018173,2.0,0.09273022863412317,0.0,354,406.4979709605894,0.08117378048780487,0.2830687830687831,0.0,2.0,0,16.0,0.0,2,,8,2624,7.032258,128.0,T_0.400_000,4,7.642857142857143,0.4046920821114369,0.0,0.4,0.0,4,2624,0.009259259259259259,341,0.0,2,,2,1.0,0.0,0.5,0.0,135.0,6,256.0,0.0975609756097561,0.0,88,64,A_TrueMR,28.0,0.15483870967741936,0.3870967741935484,4,0.5,0.335327945068307,0.4310850439882698,256,0.12995426829268292,1.5609756097560976,1015.741935483871,1015.741935483871,7.032258033752441,252.82842707633972,0.3700457317073171,41,1.0,0.034482758620689655,0.0,1.0,555.0,107.0,0.3519061583577713,0.43922620577655497,2.0,0.0
2.0,0.13312328767123285,920,2,0.05714285714285714,0.3527397260273973,4,0.15168831168831168,1,0.3527397260273973,0.020193246753246748,16.76190476190476,SLD1,447.9238796234131,2.0,0.08634419248321423,0.0,0,298.217599750934,0.09454545454545454,0.2962962962962963,0.0,2.0,0,18.333333333333332,0.0,2,,5,1925,6.0136986,110.0,T_0.344_000,2,7.703703703703703,0.4143835616438356,0.0,0.344,0.0,2,1925,0.009523809523809525,292,0.0,1,,2,1.0,0.0,0.5,0.0,131.0,3,220.0,0.08571428571428572,0.0,92,55,A_TrueMR,27.0,0.13312328767123285,0.386986301369863,3,0.6666666666666666,0.3969128268991283,0.4417808219178082,165,0.15168831168831168,1.5714285714285714,744.9486301369863,744.9486301369863,6.013698577880859,216.0,0.514978354978355,35,1.0,0.03571428571428571,0.0,1.0,82.5,104.0,0.3527397260273973,0.48222479270718843,2.0,0.0
5.0,0.14047450980392157,913,5,0.08377896613190731,0.38823529411764707,5,0.15151515151515152,0,0.38823529411764707,0.022388125,0.5625,SLD1,393.0954530239105,3.0,0.04738233368517511,0.0,62,298.72895254010695,0.0677361853832442,0.6613756613756614,0.0,5.0,180,2.125,418.96000000000004,5,,5,1683,4.3584313,134.0,T_0.317_180,0,8.142857142857142,0.48627450980392156,0.07142857142857142,0.317,5.5,0,1600,0.0078125,255,0.0,0,,5,1.0,2.0,0.3617021276595745,0.0,153.0,0,268.0,0.765,0.08270676691729323,105,51,A_TrueMR,26.0,0.14047450980392157,0.44313725490196076,5,0.11519607843137254,0.6815875668449198,0.5333333333333333,1224,0.159375,1.5625,745.8,745.8,4.358431339263916,271.35533821582794,0.04417892156862745,33,1.0,0.037037037037037035,0.0,0.6,66.5,127.0,0.38823529411764707,0.6903039354141866,5.0,0.0078125
5.0,0.1429607843137255,877,5,0.08615567439096851,0.39215686274509803,5,0.15151515151515152,0,0.39215686274509803,0.022784375,0.5625,SLD1,393.0954530239105,4.0,0.04415512677811703,0.0,90,304.0103357843137,0.06535947712418301,0.6613756613756614,0.0,5.0,180,2.125,390.8,5,,5,1683,3.8116918,138.0,T_0.317_180,0,8.142857142857142,0.5058823529411764,0.07142857142857142,0.317,6.5,0,1600,0.0078125,255,0.0,0,,5,1.0,2.0,0.35172413793103446,0.0,153.0,0,276.0,0.765,0.09774436090225563,105,51,A_TrueMR,26.0,0.1429607843137255,0.45098039215686275,5,0.1184640522875817,0.6838929738562093,0.5686274509803921,1224,0.159375,1.5625,759.0,759.0,3.8116917610168457,279.0121922492981,0.040910947712418294,33,1.0,0.037037037037037035,0.0,0.8,66.5,127.0,0.39215686274509803,0.709782293595563,5.0,0.0078125
3.0,0.13161290322580646,612,5,0.06478658536585366,0.23225806451612904,7,0.11814024390243902,1,0.23225806451612904,0.015795586527293844,0.46341463414634143,SLD1,521.5218585729599,4.0,0.09550171681969688,0.0,1191,345.6576114002028,0.05335365853658536,0.7876923076923077,1.0,4.0,180,2.0,466.75,3,,7,2624,3.0741487,40.5,T_0.400_180,3,2.3076923076923075,0.5838709677419355,0.15384615384615385,0.4,32.0,5,2583,0.015625,310,3.0,4,,4,0.75,1.0,0.3764705882352941,1.0,85.0,2,81.0,0.7928765001935734,0.5203252032520326,121,64,A_TrueMR,22.0,0.13161290322580646,0.32903225806451614,7,0.0830078125,0.5089222261444245,0.6516129032258065,2048,0.1200154858691444,1.5365853658536586,863.3806451612903,863.3806451612903,3.074148654937744,336.4264061450958,0.0370076733691444,41,1.0,0.043478260869565216,0.0,1.0,61.5,63.0,0.23225806451612904,0.6450859165628442,4.0,0.08695652173913043
9.0,0.34838709677419355,1,11,0.11661585365853659,0.43548387096774194,7,0.11814024390243902,1,0.43548387096774194,0.04181184668989547,0.024390243902439046,SLD1,521.5218585729599,8.0,0.006025759399993752,0.375,576,914.5846113202953,0.0015243902439024265,0.04856187290969899,1.0,10.0,180,1.5609756097560976,693.24,9,,7,2624,0.7096474,9.964285714285714,T_0.400_180,3,6.6923076923076925,0.9612903225806452,1.0,0.4,186.5,3,2583,0.004672897196261682,310,27.0,2,,10,0.5,20.0,0.2679738562091503,1.0,234.0,4,19.928571428571427,1.0158730158730158,3.032520325203252,102,64,A_TrueMR,21.0,0.34838709677419355,0.8709677419354839,7,0.11661585365853659,0.6947823080189327,0.9870967741935484,2624,0.1200154858691444,1.5365853658536586,2285.4193548387098,2285.4193548387098,0.7096474170684814,600.918827176094,0.0033996322106078086,41,1.0,0.045454545454545456,0.0,0.8,61.5,213.0,0.43548387096774194,1.152240922020772,10.0,1.0
3.0,0.15483870967741936,323,3,0.053734756097560975,0.20821114369501467,6,0.12995426829268292,2,0.20821114369501467,0.020121951219512196,0.8093947606142726,SLD1,575.6223644018173,4.0,0.08185672959416931,0.5,1292,406.5581756411479,0.07621951219512194,0.2830687830687831,0.0,3.0,0,2.3703703703703702,1074.6666666666667,3,,8,2624,5.248462,138.0,T_0.400_000,3,7.642857142857143,0.44868035190615835,0.0,0.4,2.5,3,2624,0.009259259259259259,341,0.0,1,,3,0.5,0.0,0.5319148936170213,0.0,135.0,5,276.0,0.6585365853658537,0.0045045045045045045,104,64,A_TrueMR,28.0,0.15483870967741936,0.3870967741935484,4,0.08159722222222222,0.43566907933253335,0.49560117302052786,1728,0.12995426829268292,1.5609756097560976,1015.741935483871,1015.741935483871,5.248462200164795,278.8700569868088,0.048357046070460694,41,1.0,0.034482758620689655,0.0,1.3333333333333333,555.0,107.0,0.20821114369501467,0.48446702948487513,3.0,0.0
3.0,0.1476,497,5,0.06973684210526315,0.25806451612903225,3,0.13596491228070176,1,0.25806451612903225,0.0204085637823372,0.06073446327683607,SLD1,492.45079135894775,3.0,0.07194015647573623,0.6666666666666666,757,362.2717740110254,0.06622807017543861,0.3561576354679803,1.0,4.0,270,0.5833333333333334,505.6875,3,,3,2280,3.8289921,25.5,T_0.372_270,1,1.4275862068965512,0.6,0.3448275862068966,0.372,15.5,1,2242,0.0136986301369863,310,5.0,0,,4,0.3333333333333333,5.0,0.39622641509433965,1.0,91.0,2,51.0,0.936663693131133,0.1962025316455696,150,38,A_TrueMR,19.0,0.1476,0.3967741935483871,3,0.07571428571428572,0.6895158248272404,0.6612903225806451,2100,0.13826940231935772,0.6440677966101694,904.6451612903226,904.6451612903226,3.8289921283721924,315.01219260692596,0.062555116605072,60,1.0,0.05,0.0,0.75,79.0,72.0,0.25806451612903225,0.6396825797307194,4.0,0.2727272727272727
5.0,0.18299120234604105,162,5,0.09222560975609756,0.2932551319648094,6,0.12995426829268292,2,0.2932551319648094,0.023780487804878046,0.0,SLD1,575.6223644018173,8.0,0.01606290075066724,0.25,753,480.5726460017166,0.03772865853658536,0.716931216931217,0.0,5.0,0,1.5609756097560976,1536.24,5,,8,2624,4.751424,69.0,T_0.400_000,1,4.642857142857143,0.530791788856305,0.14285714285714285,0.4,30.0,3,2624,0.00980392156862745,341,2.0,1,,5,0.375,2.0,0.44214876033057854,0.0,125.0,3,138.0,1.0,0.05405405405405406,105,64,A_TrueMR,24.0,0.18299120234604105,0.4574780058651026,4,0.09222560975609756,0.6728850761748087,0.592375366568915,2624,0.12995426829268292,1.5609756097560976,1200.4222873900292,1200.4222873900292,4.751424312591553,460.3919161558151,0.03772865853658536,41,1.0,0.04,0.0,1.6,555.0,101.0,0.2932551319648094,0.7998158942873096,5.0,0.056074766355140186
4.0,0.15684291187739463,547,4,0.08311688311688312,0.3946360153256705,7,0.13558441558441559,0,0.3946360153256705,0.02165925925925926,0.12380952380952381,SLD1,430.50966584682465,3.0,0.057113872230932894,0.3333333333333333,145,351.4646852546965,0.05246753246753247,0.7292307692307692,0.0,4.0,180,1.6666666666666667,1013.0,4,,7,1925,4.509151,48.333333333333336,T_0.344_180,3,4.769230769230769,0.49808429118773945,0.11538461538461539,0.344,9.5,3,1890,0.011627906976744186,261,2.0,3,,4,0.6666666666666666,1.0,0.50625,0.0,108.0,3,96.66666666666667,0.9603174603174603,0.18269230769230768,104,55,A_TrueMR,23.0,0.15684291187739463,0.4559386973180077,7,0.0881542699724518,0.6531471997177326,0.5402298850574713,1815,0.1380952380952381,1.542857142857143,877.6819923371647,877.6819923371647,4.509150981903076,308.32590079307556,0.04994096812278631,35,1.0,0.041666666666666664,0.0,0.75,52.0,85.0,0.3946360153256705,0.7161881027376931,4.0,0.03409090909090909
2.0,0.14061478599221788,910,2,0.0659536541889483,0.30739299610894943,6,0.1527035056446821,0,0.30739299610894943,0.02190181818181818,1.6723484848484849,SLD1,396.16652023792267,4.0,0.08246708658224836,0.0,1086,298.8644522101306,0.0867498514557338,0.6643678160919539,0.0,2.0,0,3.1875,0.25,2,,6,1683,4.601828,53.0,T_0.317_000,4,7.7333333333333325,0.48638132295719844,0.1,0.317,2.5,4,1650,0.006944444444444444,257,1.0,4,,2,1.0,2.0,0.5045045045045045,0.0,170.0,4,106.0,0.49454545454545457,0.03731343283582089,111,51,A_TrueMR,27.0,0.14061478599221788,0.44357976653696496,6,0.13602941176470587,0.4109222957429641,0.5330739299610895,816,0.15575757575757576,1.5151515151515151,746.544747081712,746.544747081712,4.601828098297119,218.3847758769989,0.01972816399286989,33,1.0,0.03571428571428571,0.0,2.0,67.0,143.0,0.30739299610894943,0.5512449051622162,2.0,0.02054794520547945
3.0,0.14372602739726026,769,3,0.06493506493506493,0.2363013698630137,4,0.15168831168831168,1,0.2363013698630137,0.021801558441558438,0.09523809523809534,SLD1,447.9238796234131,4.0,0.09040833451419858,0.0,1161,322.11308591806704,0.08675324675324675,0.2962962962962963,0.0,3.0,0,1.6666666666666667,747.5555555555555,3,,5,1925,4.376431,117.0,T_0.344_000,1,7.703703703703703,0.476027397260274,0.037037037037037035,0.344,7.0,1,1925,0.009523809523809525,292,0.0,0,,3,1.0,1.0,0.488,0.0,130.0,2,234.0,0.9428571428571428,0.08484848484848485,109,55,A_TrueMR,26.0,0.14372602739726026,0.4178082191780822,3,0.06887052341597796,0.6679285849061691,0.541095890410959,1815,0.15168831168831168,1.5714285714285714,804.2808219178082,804.2808219178082,4.376430988311768,241.59797883033752,0.08281778827233371,35,1.0,0.037037037037037035,0.0,1.3333333333333333,82.5,104.0,0.2363013698630137,0.5393728484256259,3.0,0.0
