candidate_id,sld_name,rank,x,y,scale,rotation,combined_score,classification
SLD1_1,SLD1,1,576,102,0.4,180,914.5846113202953,
SLD1_2,SLD1,2,878,119,0.4,180,911.2263459780452,
SLD1_3,SLD1,3,753,202,0.4,270,894.7930781858855,
SLD1_4,SLD1,4,459,102,0.4,180,860.3818461747405,
SLD1_5,SLD1,5,580,103,0.372,180,787.0115744927652,
SLD1_6,SLD1,6,1172,177,0.4,180,768.8387744979582,
SLD1_7,SLD1,7,672,202,0.4,90,767.7906223018662,
SLD1_8,SLD1,8,93,159,0.4,0,760.5387903225808,
SLD1_9,SLD1,9,754,202,0.372,270,759.3733113867227,
SLD1_10,SLD1,10,1178,177,0.4,0,735.9091067341393,
SLD3_1,SLD3,1,1384,185,0.4,270,757.9800411009,
SLD3_2,SLD3,2,1252,185,0.4,270,754.8870509813827,
SLD3_3,SLD3,3,1460,185,0.4,270,754.8800039688267,
SLD3_4,SLD3,4,158,127,0.4,90,748.1185150987226,
SLD3_5,SLD3,5,1540,185,0.4,270,739.3587021936788,
SLD3_6,SLD3,6,1094,184,0.4,270,739.3489112786839,
SLD3_7,SLD3,7,1167,184,0.4,270,733.1398904964642,
SLD3_8,SLD3,8,342,188,0.4,270,714.5103645908501,
SLD3_9,SLD3,9,276,188,0.4,270,708.2948475395721,
SLD3_10,SLD3,10,155,132,0.4,270,705.1942302280271,
SLD4_1,SLD4,1,299,146,0.4,270,748.670127543657,
SLD4_2,SLD4,2,226,146,0.4,270,742.4612896882667,
SLD4_3,SLD4,3,508,148,0.4,270,736.2548703860243,
SLD4_4,SLD4,4,103,93,0.4,270,733.146899083562,
SLD4_5,SLD4,5,578,148,0.4,270,726.9489786705634,
SLD4_6,SLD4,6,153,148,0.4,270,720.7213406816761,
SLD4_7,SLD4,7,440,149,0.4,270,711.4108278611633,
SLD4_8,SLD4,8,203,141,0.4,90,672.6993436411151,
SLD4_9,SLD4,9,559,141,0.4,90,669.4312315621371,
SLD4_10,SLD4,10,281,141,0.4,90,669.408662383856,
SLD7_1,SLD7,1,1434,501,0.4,180,748.55388494249,
SLD7_2,SLD7,2,1229,744,0.4,0,742.1135705343413,
SLD7_3,SLD7,3,1284,84,0.4,180,741.79559037967,
SLD7_4,SLD7,4,1288,456,0.4,90,735.0155547328687,
SLD7_5,SLD7,5,278,501,0.4,180,731.6385007223878,
SLD7_6,SLD7,6,1429,487,0.4,0,726.7582542722816,
SLD7_7,SLD7,7,444,356,0.4,0,711.2960019018157,
SLD7_8,SLD7,8,517,213,0.4,90,708.7707945565339,
SLD7_9,SLD7,9,899,501,0.4,180,707.9330251863925,
