SLD,Rank,CandidateID,Classification
SLD1,1,,
SLD1,2,,
SLD1,3,,
SLD1,4,,
SLD1,5,,
SLD1,6,,
SLD1,7,,
SLD1,8,,
SLD1,9,,
SLD1,10,,
SLD2,1,,
SLD2,2,,
SLD2,3,,
SLD2,4,,
SLD2,5,,
SLD2,6,,
SLD2,7,,
SLD2,8,,
SLD2,9,,
SLD2,10,,
SLD3,1,,
SLD3,2,,
SLD3,3,,
SLD3,4,,
SLD3,5,,
SLD3,6,,
SLD3,7,,
SLD3,8,,
SLD3,9,,
SLD3,10,,
SLD4,1,,
SLD4,2,,
SLD4,3,,
SLD4,4,,
SLD4,5,,
SLD4,6,,
SLD4,7,,
SLD4,8,,
SLD4,9,,
SLD4,10,,
SLD7,1,,
SLD7,2,,
SLD7,3,,
SLD7,4,,
SLD7,5,,
SLD7,6,,
SLD7,7,,
SLD7,8,,
SLD7,9,,
SLD7,10,,
SLD8,1,,
SLD8,2,,
SLD8,3,,
SLD8,4,,
SLD8,5,,
SLD8,6,,
SLD8,7,,
SLD8,8,,
SLD8,9,,
SLD8,10,,
SLD9,1,,
SLD9,2,,
SLD9,3,,
SLD9,4,,
SLD9,5,,
SLD9,6,,
SLD9,7,,
SLD9,8,,
SLD9,9,,
SLD9,10,,
SLD10,1,,
SLD10,2,,
SLD10,3,,
SLD10,4,,
SLD10,5,,
SLD10,6,,
SLD10,7,,
SLD10,8,,
SLD10,9,,
SLD10,10,,
SLD11,1,,
SLD11,2,,
SLD11,3,,
SLD11,4,,
SLD11,5,,
SLD11,6,,
SLD11,7,,
SLD11,8,,
SLD11,9,,
SLD11,10,,
SLD12,1,,
SLD12,2,,
SLD12,3,,
SLD12,4,,
SLD12,5,,
SLD12,6,,
SLD12,7,,
SLD12,8,,
SLD12,9,,
SLD12,10,,
