SLD,Rank,CandidateID,X,Y,Width,Height,Scale,Rotation,CoverageAreaScore,VerificationScore,CombinedScore
SLD1,1,,576,102,64,41,0.4,180.0,2285.4193548387098,0.6947823080189327,914.5846113202953
SLD1,2,,878,119,64,41,0.4,180.0,2276.9548387096775,0.7406841569567768,911.2263459780452
SLD1,3,,753,202,41,64,0.4,270.0,2235.8343195266275,0.7655839587242026,894.7930781858855
SLD1,4,,459,102,64,41,0.4,180.0,2149.9870967741936,0.6450124417718831,860.3818461747405
SLD1,5,,580,103,60,38,0.372,180.0,1966.7731629392972,0.5038488617438979,787.0115744927652
SLD1,6,,1172,177,64,41,0.4,180.0,1921.4451612903226,0.4345166363818016,768.8387744979582
SLD1,7,,672,202,41,64,0.4,90.0,1918.8,0.4510371697769642,767.7906223018662
SLD1,8,,93,159,64,41,0.4,0.0,1900.6686217008798,0.45223607038123165,760.5387903225808
SLD1,9,,754,202,38,60,0.372,270.0,1897.5483870967741,0.5899275800216781,759.3733113867227
SLD1,10,,1178,177,64,41,0.4,0.0,1839.108504398827,0.44284162434732854,735.9091067341393
SLD2,1,,647,410,64,41,0.4,0.0,1754.4633431085042,0.5473709456254541,702.113759810777
SLD2,2,,67,424,64,41,0.4,180.0,1726.7612903225806,0.5440070310841357,691.0309203476828
SLD2,3,,898,162,41,64,0.4,270.0,1723.4556213017752,0.7563003319382307,689.8360287198731
SLD2,4,,342,424,64,41,0.4,180.0,1709.832258064516,0.6208759350842357,684.3054287868571
SLD2,5,,656,424,64,41,0.4,180.0,1701.367741935484,0.525637636906323,680.8624793563374
SLD2,6,,884,154,41,64,0.4,90.0,1697.3999999999999,0.7060318670150987,679.3836191202091
SLD2,7,,498,42,64,41,0.4,0.0,1677.5131964809384,0.45311181245976684,671.2771456798512
SLD2,8,,298,424,64,41,0.4,180.0,1659.0451612903225,0.5703563623193836,663.9602783335207
SLD2,9,,604,424,64,41,0.4,180.0,1650.5806451612902,0.514585315899242,660.5410092540557
SLD2,10,,797,424,64,41,0.4,180.0,1633.6516129032257,0.5833343324216652,653.8106457607433
SLD3,1,,1384,185,41,64,0.4,270.0,1894.2485207100592,0.46772136146043036,757.9800411009
SLD3,2,,1252,185,41,64,0.4,270.0,1886.4852071005917,0.4882802352431808,754.8870509813827
SLD3,3,,1460,185,41,64,0.4,270.0,1886.4852071005917,0.47653521431664025,754.8800039688267
SLD3,4,,158,127,41,64,0.4,90.0,1869.6000000000001,0.46419183120402635,748.1185150987226
SLD3,5,,1540,185,41,64,0.4,270.0,1847.6686390532545,0.4854109539616106,739.3587021936788
SLD3,6,,1094,184,41,64,0.4,270.0,1847.6686390532545,0.46909276230336266,739.3489112786839
SLD3,7,,1167,184,41,64,0.4,270.0,1832.1420118343196,0.47180960456054266,733.1398904964642
SLD3,8,,342,188,41,64,0.4,270.0,1785.562130177515,0.47585419974022225,714.5103645908501
SLD3,9,,276,188,41,64,0.4,270.0,1770.0355029585799,0.4677439269002057,708.2948475395721
SLD3,10,,155,132,41,64,0.4,270.0,1762.2721893491123,0.4755908139702699,705.1942302280271
SLD4,1,,299,146,41,64,0.4,270.0,1870.9585798816568,0.4778259849906192,748.670127543657
SLD4,2,,226,146,41,64,0.4,270.0,1855.4319526627219,0.48084770529657955,742.4612896882667
SLD4,3,,508,148,41,64,0.4,270.0,1839.905325443787,0.4879003475157322,736.2548703860243
SLD4,4,,103,93,41,64,0.4,270.0,1832.1420118343196,0.48349058305671816,733.146899083562
SLD4,5,,578,148,41,64,0.4,270.0,1816.6153846153845,0.5047080406824779,726.9489786705634
SLD4,6,,153,148,41,64,0.4,270.0,1801.0887573964496,0.4763962051602765,720.7213406816761
SLD4,7,,440,149,41,64,0.4,270.0,1777.7988165680474,0.4855020565738202,711.4108278611633
SLD4,8,,203,141,41,64,0.4,90.0,1681.0,0.498906068524971,672.6993436411151
SLD4,9,,559,141,41,64,0.4,90.0,1672.8,0.5187192702284166,669.4312315621371
SLD4,10,,281,141,41,64,0.4,90.0,1672.8,0.48110397309330244,669.408662383856
SLD7,1,,1434,501,64,41,0.4,180.0,1870.658064516129,0.48443189339727494,748.55388494249
SLD7,2,,1229,744,64,41,0.4,0.0,1854.4985337243402,0.5235950743419641,742.1135705343413
SLD7,3,,1284,84,64,41,0.4,180.0,1853.7290322580645,0.5066291274068969,741.79559037967
SLD7,4,,1288,456,41,64,0.4,90.0,1836.8,0.4925912214479288,735.0155547328687
SLD7,5,,278,501,64,41,0.4,180.0,1828.3354838709677,0.5071786233343324,731.6385007223878
SLD7,6,,1429,487,64,41,0.4,0.0,1816.0234604105574,0.5814501800978985,726.7582542722816
SLD7,7,,444,356,64,41,0.4,0.0,1777.5483870967741,0.46107843851008684,711.2960019018157
SLD7,8,,517,213,41,64,0.4,90.0,1771.2,0.48465759422314303,708.7707945565339
SLD7,9,,899,501,64,41,0.4,180.0,1769.0838709677419,0.4991279988260712,707.9330251863925
SLD7,10,,1282,34,41,64,0.4,90.0,1763.0,0.4718900019357337,705.4831340011615
SLD8,1,,723,283,41,64,0.4,270.0,1816.6153846153845,0.4801110670130371,726.9342204863617
SLD8,2,,717,326,64,41,0.4,180.0,1802.941935483871,0.4741409181451471,721.4612587444356
SLD8,3,,22,309,41,64,0.4,270.0,1715.6923076923076,0.4756112725952518,686.5622898404803
SLD8,4,,720,327,60,38,0.372,180.0,1682.6837060702876,0.4557829617882116,673.346952205188
SLD8,5,,346,131,41,64,0.4,90.0,1615.3999999999999,0.4747818670150988,646.444869120209
SLD8,6,,289,132,41,64,0.4,90.0,1607.2,0.48931378242353857,643.1735882694543
SLD8,7,,591,473,41,64,0.4,270.0,1607.0059171597634,0.4435791458097546,643.0685143513913
SLD8,8,,426,114,64,41,0.4,0.0,1600.5630498533724,0.5257808811959088,640.5406884700666
SLD8,9,,594,496,64,41,0.4,180.0,1591.3290322580644,0.42591575932154213,636.7871623588187
SLD8,10,,577,131,41,64,0.4,90.0,1582.6000000000001,0.4717223190089044,633.3230333914054
SLD9,1,,742,442,64,41,0.4,180.0,1574.3999999999999,0.6569559495710164,630.1541735697426
SLD9,2,,749,313,64,41,0.4,180.0,1565.9354838709678,0.6438811258455472,626.7605222238946
SLD9,3,,843,111,41,64,0.4,90.0,1533.3999999999999,0.7773227593883082,613.826393655633
SLD9,4,,1215,113,64,41,0.4,180.0,1523.6129032258066,0.6108904269155867,609.811695546472
SLD9,5,,613,115,41,64,0.4,90.0,1492.3999999999999,0.7723931019803539,597.4234358611882
SLD9,6,,1544,115,41,64,0.4,90.0,1492.3999999999999,0.662080601980354,597.3572483611881
SLD9,7,,312,99,64,41,0.4,0.0,1477.442815249267,0.5345190288156728,591.2978375169962
SLD9,8,,810,274,41,64,0.4,270.0,1443.976331360947,0.6059041708760283,577.9540750469044
SLD9,9,,195,113,64,41,0.4,180.0,1438.9677419354837,0.5910996039184098,575.9417565365445
SLD9,10,,1127,113,64,41,0.4,180.0,1413.574193548387,0.5573830855447346,565.7641072706816
SLD10,1,,972,645,64,41,0.4,180.0,1862.1935483870968,0.48594251495510343,745.1689848638118
SLD10,2,,967,116,64,41,0.4,180.0,1819.8709677419356,0.5115080145617125,728.2552919055113
SLD10,3,,1341,302,41,64,0.4,90.0,1812.2,0.4697872961430507,725.161872377686
SLD10,4,,982,631,64,41,0.4,0.0,1792.9384164222872,0.5060857592446892,717.4790180244618
SLD10,5,,288,645,64,41,0.4,180.0,1769.0838709677419,0.5117597848213505,707.9406042579895
SLD10,6,,1340,322,41,64,0.4,90.0,1730.2,0.5078513205332946,692.38471079232
SLD10,7,,940,121,41,64,0.4,90.0,1689.2,0.5221483013937283,675.9932889808363
SLD10,8,,879,119,41,64,0.4,90.0,1689.2,0.4982467092528068,675.9789480255517
SLD10,9,,1012,116,64,41,0.4,180.0,1684.4387096774194,0.536148061768636,674.097172708029
SLD10,10,,1004,645,64,41,0.4,180.0,1684.4387096774194,0.4782999107064803,674.0624638173917
SLD11,1,,465,381,64,41,0.4,0.0,1715.9882697947214,0.4557989414204993,686.6687872827409
SLD11,2,,465,308,60,38,0.372,0.0,1686.1736334405145,0.4584186097430617,674.7445045420517
SLD11,3,,516,32,64,41,0.4,180.0,1675.9741935483871,0.5164476154732944,670.6995459886389
SLD11,4,,81,376,64,41,0.4,0.0,1669.8181818181818,0.4560211179457836,668.2008853980402
SLD11,5,,78,309,60,38,0.372,0.0,1649.5176848874598,0.49938041941192834,660.1067022066311
SLD11,6,,466,383,60,38,0.372,0.0,1649.5176848874598,0.4473676704978425,660.0754945572827
SLD11,7,,79,379,60,38,0.372,0.0,1642.186495176849,0.44298339791929003,657.1403881094911
SLD11,8,,78,305,64,41,0.4,0.0,1623.6480938416423,0.4592353014805808,649.7347787175453
SLD11,9,,262,85,41,64,0.4,90.0,1607.2,0.6591263792102207,643.2754758275263
SLD11,10,,466,305,64,41,0.4,0.0,1600.5630498533724,0.4601848043773693,640.5013308239754
SLD12,1,,757,53,64,41,0.4,180.0,1515.148387096774,0.722227909415471,606.4926915843589
SLD12,2,,519,39,64,41,0.4,0.0,1438.9677419354837,0.5711484839441376,575.9297858645599
SLD12,3,,466,39,64,41,0.4,0.0,1408.1876832844573,0.6112208533009085,563.6418058257635
SLD12,4,,625,39,64,41,0.4,0.0,1392.7976539589442,0.6626672039604771,557.516661905954
SLD12,5,,599,39,64,41,0.4,0.0,1369.7126099706745,0.48980508600296174,548.1789270398716
SLD12,6,,332,39,64,41,0.4,0.0,1362.0175953079179,0.5329456941563551,545.1268055396611
SLD12,7,,512,53,64,41,0.4,180.0,1337.3935483870966,0.5048138163769311,535.2603076446647
SLD12,8,,442,39,64,41,0.4,0.0,1285.0674486803518,0.6315173270867607,514.4058898683928
SLD12,9,,166,53,64,41,0.4,180.0,1269.6774193548388,0.733554928003197,508.31110069873745
SLD12,10,,521,41,60,38,0.372,0.0,1260.9646302250806,0.5351460351359429,504.7069397111138
