template_id,template_name,template_scale,template_stroke_count
T_0.150_000,T_0.150_000,0.150,3.0
T_0.150_090,T_0.150_090,0.150,3.0
T_0.150_180,T_0.150_180,0.150,3.0
T_0.150_270,T_0.150_270,0.150,3.0
T_0.178_000,T_0.178_000,0.178,3.0
T_0.178_090,T_0.178_090,0.178,3.0
T_0.178_180,T_0.178_180,0.178,4.0
T_0.178_270,T_0.178_270,0.178,4.0
T_0.206_000,T_0.206_000,0.206,5.0
T_0.206_090,T_0.206_090,0.206,4.0
T_0.206_180,T_0.206_180,0.206,5.0
T_0.206_270,T_0.206_270,0.206,4.0
T_0.233_000,T_0.233_000,0.233,5.0
T_0.233_090,T_0.233_090,0.233,4.0
T_0.233_180,T_0.233_180,0.233,5.0
T_0.233_270,T_0.233_270,0.233,5.0
T_0.261_000,T_0.261_000,0.261,3.0
T_0.261_090,T_0.261_090,0.261,3.0
T_0.261_180,T_0.261_180,0.261,5.0
T_0.261_270,T_0.261_270,0.261,5.0
T_0.289_000,T_0.289_000,0.289,7.0
T_0.289_090,T_0.289_090,0.289,4.0
T_0.289_180,T_0.289_180,0.289,6.0
T_0.289_270,T_0.289_270,0.289,5.0
T_0.317_000,T_0.317_000,0.317,8.0
T_0.317_090,T_0.317_090,0.317,7.0
T_0.317_180,T_0.317_180,0.317,5.0
T_0.317_270,T_0.317_270,0.317,6.0
T_0.344_000,T_0.344_000,0.344,8.0
T_0.344_090,T_0.344_090,0.344,8.0
T_0.344_180,T_0.344_180,0.344,6.0
T_0.344_270,T_0.344_270,0.344,6.0
T_0.372_000,T_0.372_000,0.372,8.0
T_0.372_090,T_0.372_090,0.372,8.0
T_0.372_180,T_0.372_180,0.372,7.0
T_0.372_270,T_0.372_270,0.372,6.0
T_0.400_000,T_0.400_000,0.400,10.0
T_0.400_090,T_0.400_090,0.400,8.0
T_0.400_180,T_0.400_180,0.400,9.0
T_0.400_270,T_0.400_270,0.400,7.0
