template_id,Connected_Component_Count,Largest_Component_Ratio,Component_Area_Variance,Loop_Count,Hole_Count,Euler_Number,Contour_Hierarchy_Depth,Endpoint_Count,Branch_Point_Count,Average_Branch_Length,Maximum_Branch_Length,Branch_Length_Variance,Stroke_Count,Stroke_Density,Horizontal_Stroke_Ratio,Vertical_Stroke_Ratio
T_0.150_000,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,30.0,2.225806451612903,4.451612903225806,0.0,3.0,3.0,0.3333333333333333,0.6666666666666666
T_0.150_090,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,28.0,2.3448275862068964,4.689655172413793,0.0,3.0,3.0,0.6666666666666666,0.3333333333333333
T_0.150_180,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,1.0,25.0,2.6923076923076925,5.384615384615385,0.0,3.0,3.0,0.3333333333333333,0.6666666666666666
T_0.150_270,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,2.0,25.0,2.6538461538461537,5.3076923076923075,0.0,3.0,3.0,0.6666666666666666,0.3333333333333333
T_0.178_000,2.0,0.991304347826087,3192.25,2.0,2.0,0.0,1.0,5.0,34.0,2.4,4.8,0.0,3.0,1.5,0.3333333333333333,0.6666666666666666
T_0.178_090,1.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,31.0,2.59375,5.1875,0.0,3.0,3.0,0.6666666666666666,0.3333333333333333
T_0.178_180,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,3.0,24.0,3.32,6.64,0.0,4.0,4.0,0.5,0.5
T_0.178_270,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,3.0,23.0,3.4583333333333335,6.916666666666667,0.0,4.0,4.0,0.5,0.5
T_0.206_000,1.0,1.0,0.0,1.0,5.0,-4.0,1.0,1.0,40.0,2.5853658536585367,5.170731707317073,0.0,5.0,5.0,0.4,0.4
T_0.206_090,1.0,1.0,0.0,1.0,3.0,-2.0,1.0,3.0,31.0,3.15625,6.3125,0.0,4.0,4.0,0.5,0.5
T_0.206_180,1.0,1.0,0.0,1.0,3.0,-2.0,1.0,3.0,26.0,3.6666666666666665,7.333333333333333,0.0,5.0,5.0,0.6,0.4
T_0.206_270,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,2.0,26.0,3.7037037037037037,7.407407407407407,0.0,4.0,4.0,0.5,0.5
T_0.233_000,1.0,1.0,0.0,1.0,5.0,-4.0,1.0,3.0,40.0,2.926829268292683,5.853658536585366,0.0,5.0,5.0,0.6,0.4
T_0.233_090,1.0,1.0,0.0,1.0,4.0,-3.0,1.0,4.0,35.0,3.1666666666666665,6.333333333333333,0.0,4.0,4.0,0.5,0.5
T_0.233_180,3.0,0.6630434782608695,1846.2222222222224,3.0,4.0,-1.0,1.0,7.0,23.0,4.458333333333333,8.916666666666666,0.0,5.0,1.6666666666666667,0.6,0.4
T_0.233_270,1.0,1.0,0.0,1.0,3.0,-2.0,1.0,3.0,26.0,4.185185185185185,8.37037037037037,0.0,5.0,5.0,0.4,0.4
T_0.261_000,3.0,0.6666666666666666,2534.0,3.0,5.0,-2.0,1.0,3.0,38.0,3.358974358974359,6.717948717948718,0.0,3.0,1.0,0.3333333333333333,0.6666666666666666
T_0.261_090,2.0,0.8020304568527918,3540.25,2.0,5.0,-3.0,1.0,4.0,38.0,3.3333333333333335,6.666666666666667,0.0,3.0,1.5,0.6666666666666666,0.3333333333333333
T_0.261_180,2.0,0.8,3422.25,2.0,5.0,-3.0,1.0,5.0,25.0,4.8076923076923075,9.615384615384615,0.0,5.0,2.5,0.6,0.4
T_0.261_270,3.0,0.6666666666666666,2534.0,3.0,5.0,-2.0,1.0,4.0,22.0,5.521739130434782,11.043478260869565,0.0,5.0,1.6666666666666667,0.4,0.6
T_0.289_000,2.0,0.9957627118644068,13689.0,2.0,3.0,-1.0,1.0,8.0,40.0,3.4390243902439024,6.878048780487805,0.0,7.0,3.5,0.42857142857142855,0.2857142857142857
T_0.289_090,1.0,1.0,0.0,1.0,2.0,-1.0,1.0,6.0,29.0,4.6,9.2,0.0,4.0,4.0,0.5,0.5
T_0.289_180,1.0,1.0,0.0,1.0,3.0,-2.0,1.0,5.0,29.0,4.8,9.6,0.0,6.0,6.0,0.5,0.3333333333333333
