Rank,SLD,X,Y,Scale,Rotation,Score,Category,NumComponents,BlackPixels
0,SLD7,441,85,0.178,0,0.4869295656681061,Conductor Intersection,1,119
1,SLD11,634,79,0.15,90,0.487912118434906,Text Region,3,138
2,SLD8,421,138,0.206,180,0.49928057193756104,Text Region,4,224
3,SLD2,335,427,0.15,0,0.5,Conductor Intersection,1,96
4,SLD8,430,142,0.15,180,0.5041666626930237,Text Region,4,124
5,SLD7,543,227,0.15,90,0.5054604411125183,Text Region,8,67
6,SLD2,108,58,0.15,90,0.5098901391029358,Text Region,10,87
7,SLD7,1061,502,0.178,0,0.5112773776054382,Conductor Intersection,2,140
8,SLD7,442,502,0.178,0,0.5129895806312561,Conductor Intersection,1,113
9,SLD10,279,119,0.178,0,0.5130434632301331,Curved Conductor,2,115
10,SLD2,542,58,0.15,90,0.514285683631897,Text Region,11,61
11,SLD2,542,405,0.15,90,0.5164835453033447,Text Region,14,65
12,SLD7,543,244,0.15,90,0.5186813473701477,Text Region,3,81
13,SLD9,867,146,0.15,90,0.5186813473701477,Curved Conductor,2,143
14,SLD7,315,94,0.15,180,0.518750011920929,Text Region,5,140
15,SLD1,1021,42,0.15,0,0.5215686559677124,Conductor Intersection,2,138
16,SLD2,790,427,0.15,0,0.5234990119934082,Conductor Intersection,1,99
17,SLD11,488,79,0.15,90,0.5252746939659119,Text Region,5,126
18,SLD7,556,510,0.15,90,0.5274384617805481,Text Region,4,104
19,SLD7,442,504,0.15,0,0.529411792755127,Conductor Intersection,1,92
20,SLD10,279,648,0.178,0,0.530434787273407,Curved Conductor,2,115
21,SLD7,1598,88,0.15,0,0.5313725471496582,Conductor Intersection,1,119
22,SLD11,531,248,0.15,90,0.5318681597709656,Conductor Intersection,2,125
23,SLD3,621,170,0.261,0,0.5333333015441895,Curved Conductor,1,208
24,SLD7,1597,85,0.178,0,0.5339130759239197,Conductor Intersection,1,143
25,SLD7,360,352,0.178,0,0.5339130759239197,Text Region,12,134
26,SLD7,1470,502,0.15,270,0.5351851582527161,Text Region,4,117
